FirstName,LastName,Name,MiddleInitial,HouseNumber,StreetName,Source,Class
GERINGER     , JEFFREY     ,GERINGER JEFFREY,W,200,BANK                ,B,ID4447124106913710003
GERINGER     , JEFFREY     ,GERINGER JEFFREY,W,200,BANK                ,B,ID4447124106913710004
GERINGER     , DOUGLASS    ,GERINGER DOUGLASS,D,200,BANK                ,B,ID4447124106913710005
GERINGER     , MARIE       ,GERINGER MARIE,T,200,BANK                ,B,ID4447124106913710001
GLICK        , NATHANIAL   ,GLICK NATHANIAL,N,725,RIDLEY              ,B,ID444712410690380000 
GREENE       , TEMPEST     ,GREENE TEMPEST,Z,4816,BASSWOOD            ,B,ID4447124106917810001
HALL         , RAYMON      ,HALL RAYMON, ,4810,BASSWOOD            ,B,ID4447124106916010001
HILLION      , GEORGE      ,HILLION GEORGE,L,4914,BASSWOOD            ,B,ID4447124106924410001
JEANS        , KEYAN       ,JEANS KEYAN,D,686,STARKEY             ,B,ID444712410689230000 
JEANS        , MICHEAL     ,JEANS MICHEAL, ,686,STARKEY             ,B,ID4447124106892310001
JEANS        , CASANDRA    ,JEANS CASANDRA,C,686,STARKEY             ,B,ID4447124106892310002
JIMEMEZ      , SANDERA     ,JIMEMEZ SANDERA,Y,674,STARKEY             ,B,ID444712410688570000 
JIMEMEZ      , BARBRA      ,JIMEMEZ BARBRA,M,674,STARKEY             ,B,ID4447124106885710001
JIMENEZ      , IRWIN       ,JIMENEZ IRWIN, ,214,BANKS               ,B,ID4447124106910310001
JIMENEZ      , ANDRE       ,JIMENEZ ANDRE, ,214,BANKS               ,B,ID4447124106910310003
JIMENEZ      , WILHEMENIA  ,JIMENEZ WILHEMENIA, ,214,BANKS               ,B,ID4447124106910310002
KELLEY       , FREDRICK    ,KELLEY FREDRICK,W,4932,BASSWOOD            ,B,ID444712425879540000 
LAKHTOSH     , TONY        ,LAKHTOSH TONY,M,206,BANKS               ,B,ID4447124106911110002
LAKHTOSH     , DANIELLE    ,LAKHTOSH DANIELLE,S,206,BANKS               ,B,ID4447124106911110001
LASITTER     , DORATHEA    ,LASITTER DORATHEA,K,656,STARKEY             ,B,ID4447124106876610001
LASITTER     , LELA        ,LASITTER LELA,M,656,STARKEY             ,B,ID4447124106876610002
MALDONABO    , DWIGHT      ,MALDONABO DWIGHT,B,678,STARKEY             ,B,ID4447124106887310002
MALDONABO    , MARQUIS     ,MALDONABO MARQUIS,E,678,STARKEY             ,B,ID4447124106887310003
MALDONABO    , MABEL       ,MALDONABO MABEL, ,678,STARKEY             ,B,ID4447124106887310001
MORGAN       , DARYL       ,MORGAN DARYL,A,7124,3RD                 ,B,ID444611482          
MORGAN       , KEVEIN      ,MORGAN KEVEIN, ,7124,3RD                 ,B,ID444611486          
MOSGERA      , HERMAN      ,MOSGERA HERMAN,M,684,STARKEY             ,B,ID4447124106891510001
MOSGUERA     , IASHA       ,MOSGUERA IASHA,C,682,STARKEY             ,B,ID4447124106890710001
MOSGUERA     , ANDRE       ,MOSGUERA ANDRE,G,682,STARKEY             ,B,ID4447124106890710004
MOSGUERA     , ROMAINE     ,MOSGUERA ROMAINE,O,682,STARKEY             ,B,ID4447124106890710002
MOSGUERA     , TAWYA       ,MOSGUERA TAWYA,O,682,STARKEY             ,B,ID4447124106890710003
MOSGUERA     , PRINCETTE   ,MOSGUERA PRINCETTE,D,682,STARKEY             ,B,ID4447124106890710005
MOSGUERA     , KEISHA      ,MOSGUERA KEISHA,O,682,STARKEY             ,B,ID4447124106890710006
OQUENDO      , CLAIRE      ,OQUENDO CLAIRE,J,666,STARKEY             ,B,ID4447124106881610001
PAIGE        , XANTHA      ,PAIGE XANTHA, ,4830,BASSWOOD            ,B,ID4447124106919410002
PARRA        , JEMOS       ,PARRA JEMOS,V,676,STARKEY             ,B,ID4447124106886510001
RAUST        , ANN         ,RAUST ANN,N,652,STARKEY             ,B,ID4447124106874110001
RODREQUE     , TAWANA      ,RODREQUE TAWANA,S,670,STARKEY             ,B,ID4447124106882410001
RODREQUE     , GERALDINE   ,RODREQUE GERALDINE,A,670,STARKEY             ,B,ID4447124106882410002
ROUNSVELLE   , DERRICK     ,ROUNSVELLE DERRICK,E,100,BANKS               ,B,ID4447124106896410001
SENTRY       , IRAN        ,SENTRY IRAN,R,4906,BASSWOOD            ,B,ID4447124106923610001
SENTRY       , RAYMOND     ,SENTRY RAYMOND,L,4906,BASSWOOD            ,B,ID4447124106923610002
SENTRY       , ALLICIA     ,SENTRY ALLICIA,J,4906,BASSWOOD            ,B,ID4447124106923610003
SHANKS       , DAVONE      ,SHANKS DAVONE,B,104,BANKS               ,B,ID4447124106898010001
SHANKS       , LONORA      ,SHANKS LONORA,S,104,BANKS               ,B,ID4447124106898010002
TORRIS       , RANDOLFF    ,TORRIS RANDOLFF, ,680,STARKEY             ,B,ID4447124106889910001
TORRIS       , FREMAN      ,TORRIS FREMAN,R,680,STARKEY             ,B,ID4447124106889910002
VALDEZ       , WYANE       ,VALDEZ WYANE,H,723,RIDLEY              ,B,ID4447124106904610001
VALDEZ       , THERESA     ,VALDEZ THERESA, ,723,RIDLEY              ,B,ID4447124106904610002
VARGAS MUNOZ , THUY KIM    ,VARGAS MUNOZ THUY KIM,G,727,RIDLEY              ,B,ID4447124106900410001
VARGAS-HERNAN, BRANDON     ,VARGAS-HERNAN BRANDON,R,664,STARKEY             ,B,ID4447124106880810001
VARGAS-HERNAN, ALEXANDE    ,VARGAS-HERNAN ALEXANDE,R,664,STARKEY             ,B,ID4447124106880810002
VARGAS-HERNAN, ELIZBETH    ,VARGAS-HERNAN ELIZBETH,L,664,STARKEY             ,B,ID4447124106880810003
WESTERN      , DONNY       ,WESTERN DONNY, ,4842,BASSWOOD            ,B,ID4447124106921010002
WESTERN      , SALLY       ,WESTERN SALLY, ,4842,BASSWOOD            ,B,ID4447124106921010001
WIZALKOWSKI  , ALEXDER     ,WIZALKOWSKI ALEXDER,J,210,BANKS               ,B,ID4447124106914510001
WIZALKOWSKI  , DELORES     ,WIZALKOWSKI DELORES,A,210,BANKS               ,B,ID4447124106914510002
CANNON       , LATESHA     ,CANNON LATESHA,D,110,EL DORADO           ,B,ID4448125110811710001
DORSER       , KATHY       ,DORSER KATHY, ,626,STARKEY             ,B,ID4446121011         
HOERNING     , RUFUS       ,HOERNING RUFUS,D,114,EL DORADO           ,B,ID4448125110816610003
HOERNING     , CHISTOPHER  ,HOERNING CHISTOPHER,D,114,EL DORADO           ,B,ID4448125110816610004
HOERNING     , ZACNARY     ,HOERNING ZACNARY, ,114,EL DORADO           ,B,ID4448125110816610005
HOERNING     , TRINA       ,HOERNING TRINA, ,114,EL DORADO           ,B,ID4448125110816610001
HOERNING     , ANNA        ,HOERNING ANNA, ,114,EL DORADO           ,B,ID4448125110816610002
JOHNS        , STEPHEN     ,JOHNS STEPHEN, ,4946,BASSWOOD            ,B,ID4448125110670710003
JOHNS        , GLURIA      ,JOHNS GLURIA, ,4946,BASSWOOD            ,B,ID4448125110670710002
JOLMES       , GERARDO     ,JOLMES GERARDO,F,108,EL DORADO           ,B,ID4448125110808310002
JOLMES       , FRANCISO    ,JOLMES FRANCISO,D,108,EL DORADO           ,B,ID4448125110808310003
JOLMES       , ERIK        ,JOLMES ERIK,D,108,EL DORADO           ,B,ID4448125110808310004
JOLMES       , LUCILE      ,JOLMES LUCILE, ,108,EL DORADO           ,B,ID4448125110808310001
KENNY        , DANYAE      ,KENNY DANYAE, ,624,STARKEY             ,B,ID4446120210         
SPRIGGS      , RAY         ,SPRIGGS RAY, ,113,EL DORADO           ,B,ID4448125110820810001
TREAEVANT    , JACKIE      ,TREAEVANT JACKIE,M,111,EL DORADO           ,B,ID4448125110821610001
TREAEVANT    , ANNA        ,TREAEVANT ANNA,M,111,EL DORADO           ,B,ID4448125110821610002
ALSTON       , LED         ,ALSTON LED,E,612,OCONEE              ,B,ID4450127238387310002
ALSTON       , MICHAEL     ,ALSTON MICHAEL, ,612,OCONEE              ,B,ID4450127238387310003
ALSTON       , ROSEMARY    ,ALSTON ROSEMARY, ,612,OCONEE              ,B,ID4450127238387310001
BARRETT      , KENDALL     ,BARRETT KENDALL, ,634,STARKEY             ,B,ID44461220543        
BARRETT      , YUNAISY     ,BARRETT YUNAISY,L,634,STARKEY             ,B,ID44461220533        
CAMBLE       , ANTOIENO    ,CAMBLE ANTOIENO,E,0,6041 / 2 OCONEE     ,B,ID4450127238383210002
CAMBLE       , JESSICIA    ,CAMBLE JESSICIA,A,0,6041 / 2 OCONEE     ,B,ID4450127238383210001
CAMBLE       , MARNELA     ,CAMBLE MARNELA,E,0,6041 / 2 OCONEE     ,B,ID4450127238383210004
CARL         , DERRYL      ,CARL DERRYL,B,501,RUBY                ,B,ID4450127238376610001
CARL         , BARRY       ,CARL BARRY,J,501,RUBY                ,B,ID4450127238376610003
CARL         , ROSELIME    ,CARL ROSELIME,D,501,RUBY                ,B,ID4450127238376610002
CARTIER      , RODERICK    ,CARTIER RODERICK,C,14135,22,B,ID4450127238404610002
CARTIER      , JOAN        ,CARTIER JOAN, ,14135,22,B,ID4450127238404610001
CARVAJAL     , ADRIAN      ,CARVAJAL ADRIAN,L,607,MARTIN LUTHER K     ,B,ID4450127238379010003
CARVAJAL     , STEVEN      ,CARVAJAL STEVEN,D,607,MARTIN LUTHER K     ,B,ID4450127238379010004
CARVAJAL     , MILISSA     ,CARVAJAL MILISSA,L,607,MARTIN LUTHER K     ,B,ID4450127238379010001
CARVAJAL     , SARA        ,CARVAJAL SARA,L,607,MARTIN LUTHER K     ,B,ID4450127238379010002
CHAMBERS     , LAURENCE    ,CHAMBERS LAURENCE, ,14180,22,B,ID4450127238398010001
CHAMBERS     , EUGENIO     ,CHAMBERS EUGENIO,E,14180,22,B,ID4450127238398010002
COBY         , MIKE        ,COBY MIKE,D,303,MAIN                ,B,ID445012723835840000 
COBY         , WILIAMS     ,COBY WILIAMS,A,303,MAIN                ,B,ID445012723835840000 
COBY         , ANGELA      ,COBY ANGELA, ,303,MAIN                ,B,ID445012723835840000 
COBY         , LASHIWN     ,COBY LASHIWN,Y,303,MAIN                ,B,ID445012723835840000 
CRIBER       , GOILLERMO   ,CRIBER GOILLERMO,E,106,WARE                ,B,ID4450127238362610001
CRIBER       , MARCOS      ,CRIBER MARCOS,M,106,WARE                ,B,ID4450127238362610002
DAVIS        , WINDY       ,DAVIS WINDY,E,14220,22,B,ID4450127238399810001
DAVIS        , MICHELLE    ,DAVIS MICHELLE,N,14220,22,B,ID4450127238399810002
DAVIS        , RENNE       ,DAVIS RENNE,M,14220,22,B,ID4450127238399810003
DAVIS        , SARA        ,DAVIS SARA,N,14220,22,B,ID4450127238399810004
DEGRAGENRIED , JERARDO     ,DEGRAGENRIED JERARDO,D,128,WARE                ,B,ID4450127238359210001
DEGRAGENRIED , ALLEN       ,DEGRAGENRIED ALLEN,R,128,WARE                ,B,ID4450127238359210002
DICKERSON    , MARY LOU    ,DICKERSON MARY LOU, ,638,STARKEY             ,B,ID44461221227        
EASELY       , MATHEW      ,EASELY MATHEW, ,613,MARTIN LUTHER K     ,B,ID4450127238378210004
EASELY       , FLORY       ,EASELY FLORY,D,613,MARTIN LUTHER K     ,B,ID4450127238378210001
EASELY       , KERRY       ,EASELY KERRY,D,613,MARTIN LUTHER K     ,B,ID4450127238378210002
EASELY       , NILSAIVETTE ,EASELY NILSAIVETTE,D,613,MARTIN LUTHER K     ,B,ID4450127238378210003
ELLICATT-KEAN, SHERYL      ,ELLICATT-KEAN SHERYL, ,102,CHURCH              ,B,ID4450127238355010001
ELLICATT-KEAN, ELAINE      ,ELLICATT-KEAN ELAINE,A,102,CHURCH              ,B,ID4450127238355010002
FOSTER       , MARYANN     ,FOSTER MARYANN, ,636,STARKEY             ,B,ID44461220734        
FRY          , EPHNY       ,FRY EPHNY,B,14225,22 PC               ,B,ID4450127238406110001
GARNER       , DANNY       ,GARNER DANNY, ,100,GEORGE              ,B,ID4450127238352710002
GARNER       , ROBERTO     ,GARNER ROBERTO,R,100,GEORGE              ,B,ID4450127238352710003
GARNER       , MAJORIE     ,GARNER MAJORIE,A,100,GEORGE              ,B,ID4450127238352710001
GARRET       , SHARNETT    ,GARRET SHARNETT,R,124,WARE                ,B,ID4450127238360010001
GARRET       , HARRET      ,GARRET HARRET, ,124,WARE                ,B,ID4450127238360010002
GORODN       , KRISTY LEIGH,GORODN KRISTY LEIGH,L,303,WOODHAVEN           ,B,ID4450127238349310001
GORODN       , DIANE MARIE ,GORODN DIANE MARIE, ,303,WOODHAVEN           ,B,ID4450127238349310002
GORODN       , ROSE MARIE  ,GORODN ROSE MARIE, ,303,WOODHAVEN           ,B,ID4450127238349310003
GREEN        , EDVARDO     ,GREEN EDVARDO,A,606,OCONEE              ,B,ID4450127238384010001
GREEN        , SANDRA      ,GREEN SANDRA,C,606,OCONEE              ,B,ID4450127238384010002
GREEN        , ANNE        ,GREEN ANNE,A,606,OCONEE              ,B,ID4450127238384010003
GREEN        , MICHELLE    ,GREEN MICHELLE,M,606,OCONEE              ,B,ID4450127238384010004
GREEN        , ROSETTE     ,GREEN ROSETTE,A,606,OCONEE              ,B,ID4450127238384010005
HACHETT      , CORTE       ,HACHETT CORTE,D,640,STARKEY             ,B,ID44461230326        
HACHETT      , DENARIO     ,HACHETT DENARIO,E,640,STARKEY             ,B,ID44461230328        
HACHETT      , EYVETTE     ,HACHETT EYVETTE,D,640,STARKEY             ,B,ID44461230330        
HACHETT      , ALISA       ,HACHETT ALISA,Y,640,STARKEY             ,B,ID44461230332        
HAMMOND      , JOAMES      ,HAMMOND JOAMES, ,505,RUBY                ,B,ID4450127238374110002
HAMMOND      , LENWOOD REV ,HAMMOND LENWOOD REV, ,505,RUBY                ,B,ID4450127238374110003
HAMMOND      , TRACI       ,HAMMOND TRACI,R,505,RUBY                ,B,ID4450127238374110001
HASKINS      , STEFAN      ,HASKINS STEFAN, ,14215,22,B,ID4450127238405310002
HASKINS      , PAMELA      ,HASKINS PAMELA,T,14215,22,B,ID4450127238405310001
HEAVAENER    , FLORRE      ,HEAVAENER FLORRE, ,608,OCONEE              ,B,ID445012723838570000 
HEAVAENER    , JEFFREY     ,HEAVAENER JEFFREY,S,608,OCONEE              ,B,ID445012723838570000 
HEAVAENER    , WILSREVO    ,HEAVAENER WILSREVO, ,608,OCONEE              ,B,ID445012723838570000 
HENRIKSON    , SAMIAR      ,HENRIKSON SAMIAR,I,618,OCONEE              ,B,ID4450127238390710001
HENRIKSON    , SAMANTHA    ,HENRIKSON SAMANTHA,H,618,OCONEE              ,B,ID4450127238390710002
HENRIKSON    , DOROTHEA    ,HENRIKSON DOROTHEA,T,618,OCONEE              ,B,ID4450127238390710003
HENRIKSON    , DONNA MARIE ,HENRIKSON DONNA MARIE,E,618,OCONEE              ,B,ID4450127238390710004
HENRIKSON    , PHYLLIS     ,HENRIKSON PHYLLIS,L,618,OCONEE              ,B,ID4450127238390710005
HOLLY        , MICHAEL     ,HOLLY MICHAEL,T,14170,22,B,ID4450127238397210001
HOLLY        , DAMOEN      ,HOLLY DAMOEN,T,14170,22,B,ID4450127238397210003
HOLLY        , CATHRINE    ,HOLLY CATHRINE,A,14170,22,B,ID4450127238397210002
HOLLY        , CHARCOTTE   ,HOLLY CHARCOTTE,E,14170,22,B,ID4450127238397210004
HOSHINGTON   , JEFFREY     ,HOSHINGTON JEFFREY,P,603,MARTIN LUTHER K     ,B,ID4450127238380810001
HOSHINGTON   , STEVEN      ,HOSHINGTON STEVEN,I,603,MARTIN LUTHER K     ,B,ID4450127238380810003
HOSHINGTON   , MAURI       ,HOSHINGTON MAURI,P,603,MARTIN LUTHER K     ,B,ID4450127238380810004
HOSHINGTON   , XLONARA     ,HOSHINGTON XLONARA,E,603,MARTIN LUTHER K     ,B,ID4450127238380810002
HULLEY       , ANTHONY     ,HULLEY ANTHONY,B,628,STARKEY             ,B,ID44461220129        
HULLEY       , DIANE       ,HULLEY DIANE,M,628,STARKEY             ,B,ID44461220142        
HUSSEINKEL   , ARCHIBALD   ,HUSSEINKEL ARCHIBALD, ,614,OCONEE              ,B,ID4450127238388110002
HUTSON       , JACQUELIN   ,HUTSON JACQUELIN, ,3886,HWY 54              ,B,ID4450127238372510001
IRVIN        , ALEJANDRO   ,IRVIN ALEJANDRO,A,601,MARTIN LUTHER K     ,B,ID4450127238381610002
IRVIN        , IVAN        ,IRVIN IVAN,E,601,MARTIN LUTHER K     ,B,ID4450127238381610003
IRVIN        , ZIONAIRE    ,IRVIN ZIONAIRE,T,601,MARTIN LUTHER K     ,B,ID4450127238381610001
KLEINMAN     , ANTONIA     ,KLEINMAN ANTONIA,B,622,OCONEE              ,B,ID4450127238391510002
KLEINMAN     , JOSLYN      ,KLEINMAN JOSLYN,V,622,OCONEE              ,B,ID4450127238391510001
KOUPE        , MARCO       ,KOUPE MARCO, ,104,GEORGE              ,B,ID4450127238350110001
KUMOR        , DINWARDO    ,KUMOR DINWARDO,A,3820,HWY 54              ,B,ID4450127238368310004
KUMOR        , BERNADINE   ,KUMOR BERNADINE, ,3820,HWY 54              ,B,ID4450127238368310001
KUMOR        , TERRENCE    ,KUMOR TERRENCE,L,3820,HWY 54              ,B,ID4450127238368310003
KUMOR        , ZAKAYA      ,KUMOR ZAKAYA,C,3820,HWY 54              ,B,ID4450127238368310005
KUMOR        , DAGOBERTO   ,KUMOR DAGOBERTO, ,3840,HWY 54              ,B,ID445012723836910000 
KUMOR        , CORRINE     ,KUMOR CORRINE, ,3840,HWY 54              ,B,ID445012723836910000 
LESCO        , CLARENCE    ,LESCO CLARENCE, ,610,OCONEE              ,B,ID4450127238386510001
LESCO        , BAN         ,LESCO BAN, ,610,OCONEE              ,B,ID4450127238386510002
MARTINEZ     , ERICA       ,MARTINEZ ERICA, ,14255,22,B,ID4450127238409510001
MATEO        , DELHAM      ,MATEO DELHAM, ,101,JOHNSON             ,B,ID4450127238353510002
MATEO        , GEORGE DR   ,MATEO GEORGE DR,L,101,JOHNSON             ,B,ID4450127238353510003
MATEO        , ANGLA       ,MATEO ANGLA,E,101,JOHNSON             ,B,ID4450127238353510001
MATEO        , JESSE       ,MATEO JESSE, ,101,JOHNSON             ,B,ID4450127238353510004
MCALISTER    , GEOFFRY     ,MCALISTER GEOFFRY,M,14270,22,B,ID4450127238403810002
MCALISTER    , JANETT      ,MCALISTER JANETT,M,14270,22,B,ID4450127238403810001
MITCHELL     , THE IMA     ,MITCHELL THE IMA,V,650,STARKEY             ,B,ID44461230536        
MOHRINA      , DOMINIC     ,MOHRINA DOMINIC,B,701,31,B,ID4450127257775510002
MOHRINA      , JANIS       ,MOHRINA JANIS,M,701,31,B,ID4450127257775510001
MOSER        , SHIRLEY     ,MOSER SHIRLEY, ,305,WOODHAVEN           ,B,ID4450127238348510001
MUCCIO       , ORESTES     ,MUCCIO ORESTES,S,106,1/2 WARE            ,B,ID4450127238364210001
MUCCIO       , LIVIA       ,MUCCIO LIVIA,E,106,1/2 WARE            ,B,ID4450127238364210002
OLOWOKAKOKO  , GREGORY     ,OLOWOKAKOKO GREGORY,S,103,JOHNSON             ,B,ID4450127238354310001
OLOWOKAKOKO  , AE          ,OLOWOKAKOKO AE,A,103,JOHNSON             ,B,ID4450127238354310003
PARK         , VERCONIA    ,PARK VERCONIA, ,3960,HWY 54              ,B,ID445012723837330000 
PARK         , DELORES     ,PARK DELORES, ,3960,HWY 54              ,B,ID445012723837330000 
PETTRICH     , JOHNNIE     ,PETTRICH JOHNNIE, ,503,RUBY                ,B,ID4450127238375810001
REEVES       , WILLY       ,REEVES WILLY,L,625,MARTIN LUTHER K     ,B,ID445012723837740000 
REEVES       , DOUGLASS    ,REEVES DOUGLASS,F,625,MARTIN LUTHER K     ,B,ID445012723837740000 
REEVES       , NWAMAKA     ,REEVES NWAMAKA,M,625,MARTIN LUTHER K     ,B,ID445012723837740000 
REICHENBERG  , SUE         ,REICHENBERG SUE,L,14150,22,B,ID4450127238395610001
REICHENBERG  , TRUDY       ,REICHENBERG TRUDY,A,14150,22,B,ID4450127238395610002
RODRIGUES    , QUINTON     ,RODRIGUES QUINTON, ,14235,22,B,ID4450127238407910002
RODRIGUES    , STEPHINE    ,RODRIGUES STEPHINE, ,14235,22,B,ID4450127238407910001
ROGLIN       , REYANN      ,ROGLIN REYANN,J,14160,22,B,ID4450127238396410001
ROTHCHILD    , PHILIP      ,ROTHCHILD PHILIP, ,14240,224,B,ID4450127238401210003
ROTHCHILD    , JAYANN      ,ROTHCHILD JAYANN,L,14240,224,B,ID4450127238401210001
ROTHCHILD    , HILDRED     ,ROTHCHILD HILDRED,E,14240,224,B,ID4450127238401210002
RUDAGILL     , DOMINI      ,RUDAGILL DOMINI,A,122,WARE                ,B,ID4450127238361810002
RUDAGILL     , SEPTIMIO    ,RUDAGILL SEPTIMIO,E,122,WARE                ,B,ID4450127238361810004
RUDAGILL     , KIMBERY     ,RUDAGILL KIMBERY,L,122,WARE                ,B,ID4450127238361810001
RUDAGILL     , ALASIA      ,RUDAGILL ALASIA,M,122,WARE                ,B,ID4450127238361810003
RUIHLING     , TRACIE LEE  ,RUIHLING TRACIE LEE,D,3870,HWY 54              ,B,ID4450127238371710001
RUIHLING     , MELLISSA    ,RUIHLING MELLISSA,A,3870,HWY 54              ,B,ID4450127238371710002
RUSSELL      , MIRIAM      ,RUSSELL MIRIAM,S,624,OCONEE              ,B,ID4450127238393110002
RUSSELL      , JONGE       ,RUSSELL JONGE,L,624,OCONEE              ,B,ID4450127238393110003
RUSSELL      , LYNN        ,RUSSELL LYNN,C,624,OCONEE              ,B,ID4450127238393110001
SHAWQI       , CHARES      ,SHAWQI CHARES, ,600,OCONEE              ,B,ID4450127238382410004
SHAWQI       , ISAREL      ,SHAWQI ISAREL, ,600,OCONEE              ,B,ID4450127238382410005
SHAWQI       , MARYCAROLE  ,SHAWQI MARYCAROLE, ,600,OCONEE              ,B,ID4450127238382410001
SINEFIELD    , SHEILA      ,SINEFIELD SHEILA, ,632,STARKEY             ,B,ID44461220231        
SOLLIVAN     , EVENS       ,SOLLIVAN EVENS, ,14245,22,B,ID445012723840870000 
SOLLIVAN     , BRANDIE     ,SOLLIVAN BRANDIE,D,14245,22,B,ID445012723840870000 
SOLLIVAN     , ANNE        ,SOLLIVAN ANNE,G,14245,22,B,ID445012723840870000 
SQUILLANGE   , LOUIS       ,SQUILLANGE LOUIS,A,3556,HWY 54              ,B,ID4450127238366710001
SQUILLANGE   , GERARD      ,SQUILLANGE GERARD,A,3556,HWY 54              ,B,ID4450127238366710002
SYKES        , KATHY       ,SYKES KATHY,M,14230,22,B,ID4450127238400410001
TUNSTALL     , NICOLE      ,TUNSTALL NICOLE, ,201,MAIN                ,B,ID4450127238356810001
TUNSTALL     , MARY ANNE   ,TUNSTALL MARY ANNE,C,201,MAIN                ,B,ID4450127238356810002
TUNSTALL     , HARRIET     ,TUNSTALL HARRIET,J,201,MAIN                ,B,ID4450127238356810003
BRAND        , ALAN        ,BRAND ALAN,J,7126,2ND                 ,B,ID4445112314670610001
BRAND        , ANN         ,BRAND ANN,D,7126,2ND                 ,B,ID4445112314670610002
CARTE        , JEANNE      ,CARTE JEANNE, ,410,72ND                ,B,ID4445113314679710001
DAVID        , TRYONE      ,DAVID TRYONE,M,618,STARKEY             ,B,ID44461181048        
DAVID        , HOANG       ,DAVID HOANG, ,618,STARKEY             ,B,ID44461181049        
DOCUTY       , DOUGLAS     ,DOCUTY DOUGLAS,S,7134,3RD                 ,B,ID4445113314682110001
DOCUTY       , MICHELLE    ,DOCUTY MICHELLE,C,7134,3RD                 ,B,ID4445113314682110002
DUFFY-TYLER  , LAWRENCE    ,DUFFY-TYLER LAWRENCE,A,400,72ND                ,B,ID4445113314680510001
DUFFY-TYLER  , DAVID       ,DUFFY-TYLER DAVID,F,400,72ND                ,B,ID4445113314680510003
DUFFY-TYLER  , BEN         ,DUFFY-TYLER BEN,M,400,72ND                ,B,ID4445113314680510004
